id,greenhous_temperature_celsius,greenhouse_humidity_percentage,greenhouse_illuminance_lux,online_temperature_celsius,online_humidity_percentage,greenhouse_total_volatile_organic_compounds_ppb,greenhouse_equivalent_co2_ppm,created
366311,13.526131057739258,69.10978698730469,2328.9,4.0,97.0,477.0,1092.3,2021-03-04 12:00:06
366363,13.742694854736328,69.04203796386719,2667.9,3.900000095367432,97.0,462.6,1080.8,2021-03-04 12:10:04
366415,13.846837711334228,69.02342224121094,2306.2,3.900000095367432,97.0,471.0,1093.1,2021-03-04 12:20:05
366467,13.836838510301378,69.06385803222656,1881.555555555556,4.0,97.0,470.3333333333333,1091.7777777777778,2021-03-04 12:30:05
366514,13.74002456665039,69.13267517089844,1590.6,4.0,97.0,465.5,1079.3,2021-03-04 12:40:06
366566,13.698100280761718,69.02677917480469,1993.2,4.099999904632568,98.0,473.5,1095.2,2021-03-04 12:50:05
366618,13.683146572113037,69.00511169433594,1537.4,4.099999904632568,98.0,477.4,1097.9,2021-03-04 13:00:05
366670,13.565058496263292,69.01113043891058,1670.111111111111,4.0,97.0,487.55555555555554,1113.4444444444443,2021-03-04 13:10:03
366717,13.53761339187622,69.01686096191406,1644.6,4.0,97.0,490.3,1109.1,2021-03-04 13:20:05
366769,13.58274211883545,68.94438171386719,2195.9,4.199999809265137,96.0,488.2,1106.7,2021-03-04 13:30:05
366821,13.604817072550455,68.89329867892795,1973.888888888889,4.199999809265137,95.0,515.3333333333334,1152.4444444444443,2021-03-04 13:40:04
366868,13.607576084136962,68.88044738769531,1910.9,4.199999809265137,95.0,516.9,1150.4,2021-03-04 13:50:01
366920,13.593690395355225,68.87953186035156,1893.7,4.400000095367432,95.0,515.1,1145.9,2021-03-04 14:00:06
366972,13.529602527618408,69.04737854003906,1589.8,4.400000095367432,94.0,492.7,1121.0,2021-03-04 14:10:05
367024,13.60570674472385,68.81734127468533,2494.6666666666665,4.400000095367432,94.0,516.0,1152.0,2021-03-04 14:20:05
367071,13.745365142822266,68.70023651123047,2060.1,4.300000190734863,94.0,525.4,1166.7,2021-03-04 14:30:03
367123,13.648699378967285,68.85740661621094,1657.6,4.199999809265137,95.0,506.6,1136.5,2021-03-04 14:40:03
367175,13.785420036315918,68.67124404907227,2701.4,4.199999809265137,95.0,502.9,1137.6,2021-03-04 14:50:05
367227,14.038596789042154,68.38229115804036,3164.333333333333,4.300000190734863,95.0,509.1111111111111,1147.4444444444443,2021-03-04 15:00:06
367274,14.181429862976074,68.25330047607422,2753.8,4.599999904632568,92.0,503.1,1136.4,2021-03-04 15:10:04
367326,14.07434959411621,68.25574188232422,1919.7,4.699999809265137,90.0,514.3,1149.2,2021-03-04 15:20:03
367378,14.029755020141602,68.19836730957032,2562.1,4.699999809265137,90.0,501.4,1125.7,2021-03-04 15:30:05
367430,14.226706610785593,68.02997504340277,3102.1111111111118,4.800000190734863,88.0,500.77777777777777,1129.7777777777778,2021-03-04 15:40:05
367477,14.39932851791382,68.01556396484375,2927.8,4.800000190734863,88.0,489.9,1119.5,2021-03-04 15:50:03
367529,14.389181423187257,68.08285522460938,2096.2,4.800000190734863,86.0,479.2,1105.4,2021-03-04 16:00:05
367581,14.280232048034668,68.15228271484375,2210.9,4.800000190734863,84.0,463.3,1076.0,2021-03-04 16:10:05
367633,14.346277978685167,67.88433837890625,2720.6666666666665,4.800000190734863,85.0,477.22222222222223,1100.7777777777778,2021-03-04 16:20:04
367680,14.224689102172851,67.94796752929688,1969.8,4.800000190734863,85.0,469.3,1083.7,2021-03-04 16:30:04
367732,14.14351110458374,67.9871826171875,2265.2,4.699999809265137,86.0,457.8,1069.8,2021-03-04 16:40:04
367784,14.014534282684329,68.1513671875,1578.4,4.800000190734863,87.0,449.0,1065.6,2021-03-04 16:50:05
367836,13.76473977830675,68.27615441216363,1172.2222222222222,4.800000190734863,87.0,465.8888888888889,1073.888888888889,2021-03-04 17:00:06
367883,13.481803607940671,68.52933502197266,843.2,4.800000190734863,90.0,458.6,1054.7,2021-03-04 17:10:04
367935,13.252422428131103,68.88609237670899,661.6,4.800000190734863,90.0,432.5,1012.8,2021-03-04 17:20:03
367987,13.0494779586792,69.16441421508789,421.9,4.800000190734863,90.0,434.7,1018.7,2021-03-04 17:30:06
373609,38.15107303195529,40.000339084201386,20594.11111111111,4.900000095367432,50.0,1798.888888888889,3333.4444444444443,2021-03-05 12:00:07
373656,41.10421905517578,37.47188568115234,22754.0,4.800000190734863,47.0,1982.1,3673.1,2021-03-05 12:10:03
373708,43.83810195922852,35.375905990600586,16686.5,5.300000190734863,46.0,2111.7,3904.2,2021-03-05 12:20:04
373760,46.21042137145996,33.159228515625,0.0,5.300000190734863,46.0,2227.0,4083.2,2021-03-05 12:30:04
373812,47.80193837483724,31.74927732679579,0.0,5.599999904632568,44.0,2321.777777777778,4231.555555555556,2021-03-05 12:40:04
373859,48.67673759460449,30.592202758789064,8501.4,5.699999809265137,45.0,2374.0,4187.8,2021-03-05 12:50:02
373911,46.74849319458008,30.759136390686034,17006.1,5.699999809265137,45.0,2183.1,3720.5,2021-03-05 13:00:07
373963,42.75635147094727,32.18127727508545,13152.1,5.599999904632568,43.0,1920.6,3087.4,2021-03-05 13:10:05
374015,37.72322633531358,34.179530673556854,6361.333333333333,5.599999904632568,43.0,1475.7777777777778,2160.777777777778,2021-03-05 13:20:03
374062,31.53856716156006,37.597619247436526,3817.1,6.300000190734863,39.0,987.5,1470.4,2021-03-05 13:30:06
374114,26.78885307312012,41.520714569091794,3271.9,6.0,38.0,685.7,1295.3,2021-03-05 13:40:05
374166,23.430113983154296,45.04829483032226,3040.7,6.0,37.0,616.2,1197.6,2021-03-05 13:50:04
374218,21.16956180996365,47.18072509765625,3249.1111111111118,6.0,37.0,594.7777777777778,1153.6666666666667,2021-03-05 14:00:06
374265,19.867360877990723,48.89738311767578,4243.4,6.199999809265137,38.0,580.6,1144.1,2021-03-05 14:10:05
374317,18.7631799697876,50.300602722167966,3224.3,6.199999809265137,36.0,579.0,1131.4,2021-03-05 14:20:04
374369,17.808537483215332,51.81490783691406,2898.5,6.199999809265137,36.0,562.0,1108.6,2021-03-05 14:30:04
374421,17.177716573079426,52.79485872056749,2949.6666666666665,6.599999904632568,36.0,553.6666666666666,1101.7777777777778,2021-03-05 14:40:03
374468,16.704623413085937,53.36797180175781,2945.4,6.300000190734863,36.0,556.4,1102.8,2021-03-05 14:50:05
374520,16.3935302734375,53.98260459899903,3197.1,6.300000190734863,36.0,554.0,1104.2,2021-03-05 15:00:09
374572,16.29980125427246,54.230564498901366,3687.6,6.5,37.0,562.4,1115.3,2021-03-05 15:10:05
374624,16.188508139716255,54.50200398763021,3096.0,6.5,36.0,560.0,1122.888888888889,2021-03-05 15:20:03
374671,15.851720428466797,54.69291152954101,2668.3,6.5,36.0,561.6,1112.2,2021-03-05 15:30:04
374723,15.529411792755129,55.31593780517578,2698.3,6.400000095367432,37.0,553.0,1107.2,2021-03-05 15:40:06
374775,15.442092037200927,55.6615550994873,3365.1,6.599999904632568,35.0,555.5,1112.5,2021-03-05 15:50:03
374827,15.331332842508951,56.03841866387261,2810.555555555556,6.900000095367432,39.0,558.5555555555555,1123.4444444444443,2021-03-05 16:00:08
374874,15.19615478515625,56.282292175292966,2433.0,6.599999904632568,42.0,558.0,1123.2,2021-03-05 16:10:04
374926,14.925383472442627,56.48462677001953,2506.5,6.5,46.0,552.0,1107.6,2021-03-05 16:20:04
374978,14.606011962890625,57.03837623596191,1928.4,6.5,46.0,543.2,1089.6,2021-03-05 16:30:03
375030,14.307706620958117,57.41003629896376,1810.7777777777776,6.400000095367432,44.0,535.4444444444445,1081.7777777777778,2021-03-05 16:40:04
375077,14.050761858622232,57.68791919284397,1711.4444444444443,6.199999809265137,44.0,533.1111111111111,1079.3333333333333,2021-03-05 16:50:05
375124,13.790760707855224,57.88830451965332,1582.2,6.199999809265137,44.0,532.6,1072.9,2021-03-05 17:00:05
375176,13.546158504486083,58.22400207519532,1459.7,6.0,46.0,524.2,1056.8,2021-03-05 17:10:04
375228,13.332146644592283,58.47172419230143,1329.6666666666667,6.0,49.0,517.8888888888889,1045.0,2021-03-05 17:20:03
375275,13.116235828399658,58.878767013549805,1181.5,5.800000190734863,49.0,505.0,1028.5,2021-03-05 17:30:05
380892,36.99885520935059,39.80712623596192,9956.0,5.699999809265137,54.0,1882.4,3077.3,2021-03-06 12:00:06
380944,34.90665245056152,40.11367950439453,5973.1,5.300000190734863,54.0,1625.4,2512.1,2021-03-06 12:10:03
380996,34.849507904052736,39.38200950622559,11556.6,5.199999809265137,53.0,1501.8,2372.4,2021-03-06 12:20:04
381048,31.54497612847222,41.63661448160807,7510.222222222223,5.199999809265137,53.0,1260.0,1856.2222222222224,2021-03-06 12:30:04
381095,28.994010734558103,42.75883026123047,7345.0,6.199999809265137,54.0,974.5,1497.9,2021-03-06 12:40:02
381147,26.50766773223877,44.638285064697264,8785.2,6.300000190734863,52.0,748.7,1395.7,2021-03-06 12:50:03
381199,25.17208777533637,46.01171578301324,8002.0,6.300000190734863,52.0,707.4444444444445,1372.888888888889,2021-03-06 13:00:06
381246,24.485427856445312,46.92423896789551,9722.7,5.400000095367432,56.0,688.7,1362.0,2021-03-06 13:10:00
381298,24.0624475479126,47.949187469482425,8579.5,5.199999809265137,54.0,692.8,1367.6,2021-03-06 13:20:04
381350,23.82986183166504,48.67399063110352,8964.4,5.199999809265137,54.0,717.6,1395.5,2021-03-06 13:30:05
381402,24.14042110443115,48.95048484802246,9767.8,6.5,53.0,823.7,1456.3,2021-03-06 13:40:06
381454,24.15261544121636,49.37276924981011,9294.333333333334,6.300000190734863,53.0,864.5555555555555,1474.0,2021-03-06 13:50:04
381501,23.586594772338863,50.04654006958008,6748.5,6.300000190734863,53.0,807.5,1436.7,2021-03-06 14:00:05
381553,23.36282157897949,50.03494300842285,9952.5,6.699999809265137,49.0,712.7,1409.6,2021-03-06 14:10:05
381605,23.476310348510744,50.11505317687988,9395.1,6.599999904632568,49.0,745.3,1420.4,2021-03-06 14:20:05
381657,23.166967391967773,50.28932825724284,7996.444444444444,6.599999904632568,49.0,706.7777777777778,1396.7777777777778,2021-03-06 14:30:06
381704,21.735523223876957,51.43801002502441,4703.5,6.400000095367432,50.0,658.5,1311.1,2021-03-06 14:40:05
381756,20.86277092827691,52.18212466769748,6568.222222222223,6.599999904632568,49.0,640.3333333333334,1278.888888888889,2021-03-06 14:50:03
381803,20.336715698242188,52.76230663723416,5069.333333333333,6.599999904632568,49.0,645.4444444444445,1279.7777777777778,2021-03-06 15:00:06
381850,19.1303503036499,53.55504684448242,3400.2,6.0,50.0,626.0,1228.1,2021-03-06 15:10:03
381902,17.935377883911134,52.82597045898437,3189.3,6.0,53.0,654.4,1227.6,2021-03-06 15:20:03
381954,16.951094818115234,54.229648208618165,2866.2,6.0,53.0,618.0,1167.4,2021-03-06 15:30:05
382006,16.184354464213055,55.44382603963216,2600.4444444444443,6.699999809265137,52.0,593.1111111111111,1127.0,2021-03-06 15:40:03
382053,15.588871002197266,56.34326044718424,2492.6666666666665,6.5,50.0,575.7777777777778,1100.6666666666667,2021-03-06 15:50:05
382100,15.10189208984375,57.07011489868164,2379.1,6.5,50.0,566.0,1092.3,2021-03-06 16:00:09
382152,14.75009102291531,57.61213260226779,2250.4444444444443,6.400000095367432,51.0,555.8888888888889,1083.6666666666667,2021-03-06 16:10:03
382199,14.477569198608398,58.07385368347168,2144.7,6.5,52.0,553.1,1073.3,2021-03-06 16:20:03
382251,14.216143989562989,58.43915481567383,2011.3,6.5,52.0,556.0,1077.5,2021-03-06 16:30:06
382303,13.995040798187256,58.68162078857422,1874.4,6.400000095367432,52.0,552.5,1071.4,2021-03-06 16:40:04
382355,13.78847599029541,58.95475684271919,1770.4444444444443,6.300000190734863,51.0,547.5555555555555,1064.7777777777778,2021-03-06 16:50:04
382402,13.611848640441895,59.171129608154295,1656.2,6.300000190734863,51.0,550.0,1066.6,2021-03-06 17:00:06
382454,13.446555233001709,59.6488899230957,1546.1,6.199999809265137,51.0,528.4,1037.8,2021-03-06 17:10:04
382506,13.291943359375,60.16128768920898,1396.2,6.099999904632568,53.0,505.8,1001.4,2021-03-06 17:20:05
382558,13.106355667114258,60.44742923312717,1234.2222222222222,6.099999904632568,53.0,493.8888888888889,991.3333333333334,2021-03-06 17:30:05
388160,38.1903564453125,39.534446716308594,14162.0,5.0,56.0,2187.8,3280.0,2021-03-07 12:00:05
388212,34.42118759155274,40.88883819580078,10308.3,5.400000095367432,53.0,1804.0,2452.9,2021-03-07 12:10:03
388264,31.16489919026693,42.60301971435547,8734.888888888889,5.199999809265137,53.0,1457.7777777777778,1834.2222222222224,2021-03-07 12:20:03
388311,28.520294189453125,44.52750396728516,8433.0,5.199999809265137,53.0,1217.2,1520.4,2021-03-07 12:30:04
388363,27.172045135498045,45.73937568664551,10753.9,5.900000095367432,53.0,1108.3,1479.3,2021-03-07 12:40:04
388415,26.234493255615234,47.05363578796387,10391.3,5.900000095367432,53.0,1056.5,1464.9,2021-03-07 12:50:04
388467,27.633537504408096,46.5769771999783,13988.0,5.900000095367432,53.0,1181.2222222222222,1615.4444444444443,2021-03-07 13:00:05
388514,27.1456090927124,47.28450469970703,11092.5,5.5,52.0,1229.6,1588.8,2021-03-07 13:10:03
388566,26.322880935668945,47.85000419616699,10326.0,5.5,52.0,1185.6,1534.2,2021-03-07 13:20:03
388618,25.750696182250977,48.3918890953064,10165.625,5.5,52.0,1112.0,1503.375,2021-03-07 13:30:05
388660,25.024834060668944,48.831005859375,9658.5,5.699999809265137,53.0,1022.4,1453.3,2021-03-07 13:40:04
388712,24.571946144104004,49.465018844604494,9572.9,5.800000190734863,51.0,999.8,1446.3,2021-03-07 13:50:05
388764,23.948958587646484,50.37369346618652,7809.0,5.800000190734863,51.0,977.8,1431.3,2021-03-07 14:00:05
388816,23.354484134250217,50.83407508002387,7882.888888888889,6.400000095367432,49.0,914.5555555555557,1402.0,2021-03-07 14:10:05
388863,22.7363618850708,51.76592712402344,7055.0,6.199999809265137,52.0,837.3,1369.1,2021-03-07 14:20:04
388915,22.014275868733723,52.32844246758355,6345.888888888889,6.199999809265137,52.0,828.2222222222222,1357.4444444444443,2021-03-07 14:30:04
388962,21.18570213317871,53.13115119934082,4727.9,6.099999904632568,51.0,764.4,1325.9,2021-03-07 14:40:05
389014,20.29310056898329,53.85485288831923,4302.555555555556,6.5,52.0,701.3333333333334,1284.5555555555557,2021-03-07 14:50:04
389061,19.848668479919432,54.3486686706543,5435.7,6.5,52.0,685.2,1263.8,2021-03-07 15:00:07
389113,20.09086742401123,54.50003852844238,7331.8,5.400000095367432,54.0,690.1,1291.6,2021-03-07 15:10:03
389165,19.970168685913087,55.084611129760745,5221.0,5.900000095367432,53.0,691.9,1290.9,2021-03-07 15:20:03
389217,19.463073253631592,55.53006029129028,4064.625,5.900000095367432,53.0,680.25,1266.375,2021-03-07 15:30:05
389259,19.107385635375977,55.82467269897461,5200.9,5.699999809265137,51.0,675.8,1253.7,2021-03-07 15:40:05
389311,19.067864608764648,55.9618522644043,5267.4,5.599999904632568,52.0,679.0,1261.6,2021-03-07 15:50:04
389363,18.77487013075087,56.291039360894096,4351.777777777777,5.800000190734863,50.0,679.0,1255.3333333333333,2021-03-07 16:00:08
389410,18.509765815734863,56.448463439941406,4315.0,5.699999809265137,53.0,673.6,1242.6,2021-03-07 16:10:03
389462,18.20187702178955,56.57969055175781,3779.4,6.199999809265137,57.0,669.1,1231.2,2021-03-07 16:20:03
389514,17.76234073638916,57.29488067626953,3094.8,6.199999809265137,57.0,642.0,1189.8,2021-03-07 16:30:05
389566,17.412705527411568,57.93121592203776,2913.4444444444443,5.199999809265137,61.0,625.2222222222222,1158.888888888889,2021-03-07 16:40:04
389613,17.078914430406357,58.30353630913629,2603.8888888888887,5.0,60.0,621.8888888888889,1147.5555555555557,2021-03-07 16:50:04
389660,16.633325576782227,58.6782642364502,2167.2,5.0,60.0,618.9,1140.3,2021-03-07 17:00:07
389712,16.235446739196778,58.78950233459473,2105.3,5.0,59.0,630.6,1148.0,2021-03-07 17:10:05
389764,15.80516783396403,59.14651234944662,1652.2222222222222,4.900000095367432,59.0,624.8888888888889,1135.111111111111,2021-03-07 17:20:03
389811,15.34649419784546,59.63012161254883,1329.5,4.900000095367432,59.0,616.5,1113.2,2021-03-07 17:30:06
389863,14.8970778465271,60.22125511169433,1078.4,4.800000190734863,58.0,592.0,1071.0,2021-03-07 17:40:03
389915,14.476501178741454,60.60471496582032,839.5,4.800000190734863,58.0,584.0,1057.2,2021-03-07 17:50:03
395423,40.79173109266493,38.60159513685439,20508.666666666668,6.900000095367432,58.0,2333.333333333333,3646.6666666666665,2021-03-08 12:00:06
395470,42.25352821350098,37.06950492858887,17479.9,7.300000190734863,57.0,2406.3,3743.9,2021-03-08 12:10:00
395522,46.05580978393554,34.44968338012696,0.0,7.800000190734863,58.0,2634.3,4214.5,2021-03-08 12:20:04
395574,48.84470100402832,32.303044128417966,0.0,7.800000190734863,58.0,2852.6,4516.4,2021-03-08 12:30:03
395626,49.989738082885744,31.20408954620361,17262.3,7.900000095367432,55.0,2981.4,4638.8,2021-03-08 12:40:04
395678,49.23679521348741,31.664165920681423,18363.0,8.5,54.0,2946.4444444444443,4526.444444444444,2021-03-08 12:50:03
395725,45.932173538208005,33.777828216552734,17953.4,8.5,54.0,2843.7,4180.4,2021-03-08 13:00:05
395777,45.16418647766113,33.69878730773926,18716.3,8.100000381469727,52.0,2723.6,3883.5,2021-03-08 13:10:05
395829,41.64326943291558,35.10829628838433,11510.777777777776,8.399999618530273,51.0,2421.6666666666665,3237.1111111111118,2021-03-08 13:20:06
395876,36.65945663452148,37.92339973449707,8258.8,8.399999618530273,51.0,1971.4,2391.9,2021-03-08 13:30:00
395928,32.594415473937985,40.92393341064453,8053.3,8.699999809265137,50.0,1606.7,1816.8,2021-03-08 13:40:04
395980,29.813267707824707,43.55703086853028,7660.5,8.600000381469727,49.0,1396.8,1544.2,2021-03-08 13:50:04
396032,27.79375754462348,45.31658257378472,6985.666666666667,8.600000381469727,49.0,1210.7777777777778,1451.7777777777778,2021-03-08 14:00:06
396079,26.192835807800293,46.678110885620114,6486.9,8.699999809265137,49.0,1133.7,1411.2,2021-03-08 14:10:06
396131,24.523346138000488,48.53269271850586,5622.6,8.800000190734863,50.0,973.3,1339.7,2021-03-08 14:20:06
396183,23.39913749694824,49.42015686035156,5800.1,8.800000190734863,50.0,915.5,1313.6,2021-03-08 14:30:05
396235,22.65693473815918,50.19099214341905,6299.444444444444,8.800000190734863,49.0,890.5555555555555,1302.888888888889,2021-03-08 14:40:05
396282,22.49469757080078,50.7197681427002,7342.6,8.899999618530273,50.0,922.0,1323.2,2021-03-08 14:50:04
396334,22.339017486572267,51.82436828613281,6941.4,8.899999618530273,50.0,889.5,1326.7,2021-03-08 15:00:06
396386,22.050889205932616,52.31433601379395,5953.5,8.899999618530273,51.0,869.4,1321.2,2021-03-08 15:10:05
396438,21.741308848063152,52.391343434651695,6232.444444444444,9.199999809265137,51.0,865.1111111111111,1318.888888888889,2021-03-08 15:20:03
396485,21.55153694152832,52.79209632873536,6244.1,8.699999809265137,51.0,852.4,1312.6,2021-03-08 15:30:05
396537,21.34138240814209,53.50179328918457,5378.2,8.699999809265137,51.0,795.7,1299.7,2021-03-08 15:40:04
396589,21.069543075561523,53.65789260864258,5656.9,9.0,51.0,794.1,1294.7,2021-03-08 15:50:04
396641,20.95919926961263,54.05474599202474,5546.0,9.0,51.0,770.5555555555555,1291.5555555555557,2021-03-08 16:00:07
396688,20.874875831604005,54.41138343811035,5286.8,9.100000381469728,50.0,771.9,1296.9,2021-03-08 16:10:05
396740,20.6073091506958,54.39749641418457,4621.4,8.899999618530273,52.0,817.1,1310.8,2021-03-08 16:20:04
396792,20.24147372775608,54.91230350070529,3932.6666666666665,8.899999618530273,52.0,784.8888888888889,1289.5555555555557,2021-03-08 16:30:05
396839,19.771496391296388,55.53521041870117,3447.2,8.600000381469727,52.0,696.7,1254.1,2021-03-08 16:40:04
396891,19.286297416687013,55.90203666687012,3010.2,8.100000381469727,54.0,685.4,1234.5,2021-03-08 16:50:03
396943,18.800831413269044,56.449073028564456,2578.9,8.100000381469727,54.0,670.6,1207.5,2021-03-08 17:00:06
396995,18.38055144415961,57.018387688530815,2405.6666666666665,7.800000190734863,56.0,664.3333333333334,1199.2222222222222,2021-03-08 17:10:03
397042,17.960211753845215,57.63561401367188,2005.5,7.599999904632568,57.0,650.5,1170.3,2021-03-08 17:20:03
397094,17.507591438293456,58.21988296508789,1612.6,7.599999904632568,57.0,640.3,1149.2,2021-03-08 17:30:04
397146,17.046574062771267,58.58752314249674,1154.6666666666667,7.400000095367432,59.0,634.1111111111111,1133.2222222222222,2021-03-08 17:40:04
397193,16.555619049072266,59.01106224060059,814.4,7.300000190734863,60.0,626.2,1116.4,2021-03-08 17:50:03
402716,20.69246270921495,60.25838640001085,3973.6666666666665,7.099999904632568,93.0,907.5555555555557,1415.7777777777778,2021-03-09 12:00:08
402763,20.622263145446777,59.31471672058105,8509.3,7.900000095367432,80.0,907.1,1411.5,2021-03-09 12:10:05
402815,21.009994506835938,58.72800788879395,10064.6,7.599999904632568,80.0,891.2,1444.7,2021-03-09 12:20:04
402867,24.22400245666504,55.43526382446289,11968.5,7.599999904632568,80.0,1085.9,1870.3,2021-03-09 12:30:06
402919,30.196459664238823,51.11331558227539,14189.333333333334,7.800000190734863,81.0,1522.6666666666667,2681.0,2021-03-09 12:40:04
402966,28.44045181274414,52.0,9334.3,7.800000190734863,79.0,1494.6,2321.5,2021-03-09 12:50:04
403018,27.16243209838867,51.87365531921387,9074.6,7.800000190734863,79.0,1404.0,2004.8,2021-03-09 13:00:08
403070,25.92259864807129,52.46860466003418,10356.9,8.100000381469727,74.0,1362.1,1828.8,2021-03-09 13:10:06
403122,25.749175389607743,52.40236324734158,12771.444444444443,7.900000095367432,72.0,1357.2222222222222,1825.555555555556,2021-03-09 13:20:04
403169,27.173647689819337,51.68337516784668,15570.9,7.900000095367432,72.0,1543.3,2183.1,2021-03-09 13:30:06
403221,27.75070571899414,51.30754508972168,12954.6,8.699999809265137,71.0,1585.2,2232.1,2021-03-09 13:40:05
403273,27.22465076446533,51.16731491088867,12830.3,8.300000190734863,72.0,1544.3,2098.0,2021-03-09 13:50:04
403325,27.030636893378365,51.308292388916016,11684.555555555557,8.300000190734863,73.0,1610.2222222222222,2166.333333333333,2021-03-09 14:00:07
403372,26.62169075012207,51.554894638061526,10490.6,8.100000381469727,72.0,1544.5,2044.8,2021-03-09 14:10:06
403424,25.60456237792969,52.24170265197754,10253.0,7.900000095367432,73.0,1454.4,1845.1,2021-03-09 14:20:05
403476,24.7441822052002,53.29457550048828,5825.6,7.900000095367432,73.0,1410.3,1767.3,2021-03-09 14:30:04
403528,22.531132804022896,54.81108474731445,2022.2222222222224,7.599999904632568,73.0,1358.3333333333333,1566.4444444444443,2021-03-09 14:40:04
403575,20.85885410308838,56.30502777099609,2141.0,7.900000095367432,73.0,1176.9,1456.5,2021-03-09 14:50:06
403627,19.91783027648926,57.502861404418944,3316.0,7.900000095367432,73.0,1052.8,1407.9,2021-03-09 15:00:08
403679,19.33676681518555,58.423590087890624,3859.4,7.300000190734863,80.0,1039.3,1397.9,2021-03-09 15:10:06
403731,19.75695758395725,58.50614208645291,5904.777777777777,7.0,82.0,1086.4444444444443,1442.0,2021-03-09 15:20:04
403778,19.35252170562744,59.157243728637695,3008.2,7.0,82.0,1159.9,1462.0,2021-03-09 15:30:06
403830,18.797894287109376,59.38429794311524,2882.2,6.699999809265137,83.0,1252.8,1481.1,2021-03-09 15:40:05
403882,18.4560920715332,59.783016204833984,3187.7,6.900000095367432,83.0,1217.0,1465.6,2021-03-09 15:50:04
403934,18.16929880777995,60.30704540676541,2764.8888888888887,6.900000095367432,83.0,1156.0,1440.888888888889,2021-03-09 16:00:08
403981,17.840848541259767,60.77592163085937,2316.1,7.199999809265137,79.0,1153.6,1434.9,2021-03-09 16:10:04
404033,17.652856826782227,61.01182556152344,3029.8,7.199999809265137,74.0,1083.1,1415.0,2021-03-09 16:20:05
404085,17.611466789245604,60.96406555175781,3000.7,7.199999809265137,74.0,1187.9,1456.3,2021-03-09 16:30:07
404137,17.383331934611004,61.10136244032118,2437.0,7.0,74.0,1236.4444444444443,1470.111111111111,2021-03-09 16:40:04
404184,17.08861675262451,61.53917770385742,1825.1,7.0,72.0,1181.1,1435.0,2021-03-09 16:50:03
404236,16.756961822509766,61.91912689208984,1644.8,7.0,72.0,1179.3,1432.4,2021-03-09 17:00:05
404288,16.511914359198677,62.31682883368598,1555.7777777777778,6.900000095367432,73.0,1122.4444444444443,1411.6666666666667,2021-03-09 17:10:05
404335,16.297101762559677,62.69169108072917,1397.3333333333333,6.900000095367432,72.0,992.3333333333334,1358.888888888889,2021-03-09 17:20:03
404382,16.04318313598633,63.2822151184082,1002.6,6.900000095367432,72.0,721.0,1253.5,2021-03-09 17:30:06
404434,15.789442592196997,63.85917621188693,725.1111111111111,6.800000190734863,74.0,647.5555555555555,1186.111111111111,2021-03-09 17:40:04
